#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      5.89e-01    1.19e+00      7.00e-17    0.00e+00      1.86e-02    3.76e-02    1.0e-03
   1000      5.01e-01    2.78e-01      4.40e-02    3.28e-02      1.58e-02    8.76e-03    1.0e-03
   2000      4.56e-01    3.43e-01      1.16e-02    2.64e-02      1.75e-02    1.23e-02    6.7e-04
   3000      4.05e-01    6.31e-01      3.05e-02    1.19e-02      1.44e-02    2.44e-02    6.7e-04
   4000      4.16e-01    3.60e-01      1.62e-02    3.26e-03      1.84e-02    1.70e-02    4.5e-04
   5000      3.49e-01    2.72e-01      2.63e-02    3.71e-03      1.47e-02    1.28e-02    4.5e-04
   6000      2.63e-01    2.16e-01      1.20e-02    2.60e-02      1.41e-02    1.10e-02    3.0e-04
   7000      2.85e-01    2.00e-01      1.01e-02    1.61e-02      1.61e-02    1.10e-02    3.0e-04
   8000      1.94e-01    1.27e-01      1.48e-02    1.15e-03      1.23e-02    8.91e-03    2.0e-04
   9000      1.59e-01    2.16e-01      5.44e-03    2.11e-03      1.09e-02    1.52e-02    2.0e-04
  10000      2.57e-01    2.06e-01      8.54e-03    1.50e-03      2.17e-02    1.77e-02    1.3e-04
  11000      2.50e-01    2.09e-01      1.63e-02    6.01e-03      1.99e-02    1.76e-02    1.3e-04
  12000      1.35e-01    1.30e-01      5.23e-03    3.61e-03      1.35e-02    1.36e-02    9.0e-05
  13000      1.41e-01    1.81e-01      3.77e-03    1.23e-02      1.44e-02    1.59e-02    9.0e-05
  14000      1.14e-01    1.02e-01      4.30e-03    6.40e-03      1.36e-02    1.26e-02    6.0e-05
  15000      1.85e-01    7.28e-02      8.65e-03    2.20e-03      2.28e-02    9.08e-03    6.0e-05
  16000      1.24e-01    1.47e-01      5.38e-03    1.34e-02      1.85e-02    2.09e-02    4.0e-05
  17000      7.76e-02    1.14e-01      4.50e-03    1.02e-02      1.08e-02    1.48e-02    4.0e-05
  18000      7.86e-02    9.55e-02      1.75e-03    7.20e-03      1.46e-02    1.57e-02    2.7e-05
  19000      9.27e-02    4.41e-02      2.53e-03    1.51e-03      1.71e-02    8.09e-03    2.7e-05
  20000      1.30e-01    4.52e-02      9.83e-03    1.26e-04      2.53e-02    1.04e-02    1.8e-05
  21000      6.61e-02    8.63e-02      3.15e-03    9.32e-03      1.42e-02    1.35e-02    1.8e-05
  22000      7.64e-02    7.78e-02      2.37e-03    8.53e-03      2.02e-02    1.57e-02    1.2e-05
  23000      4.03e-02    9.28e-02      2.41e-03    7.69e-03      1.01e-02    2.35e-02    1.2e-05
  24000      4.51e-02    5.45e-02      1.94e-03    4.51e-04      1.38e-02    1.81e-02    8.0e-06
  25000      4.03e-02    3.68e-02      1.72e-03    2.79e-03      1.27e-02    1.15e-02    8.0e-06
  26000      3.91e-02    4.15e-02      1.75e-03    3.34e-04      1.43e-02    1.64e-02    5.4e-06
  27000      4.14e-02    4.24e-02      3.65e-03    3.05e-03      1.30e-02    1.51e-02    5.4e-06
  28000      4.26e-02    4.45e-02      1.97e-03    4.79e-03      1.88e-02    1.51e-02    3.6e-06
  29000      4.82e-02    6.09e-02      5.03e-03    1.84e-03      1.86e-02    2.78e-02    3.6e-06
  30000      2.96e-02    4.74e-02      1.38e-03    4.57e-03      1.50e-02    2.01e-02    2.4e-06
  31000      4.71e-02    1.69e-02      3.27e-03    3.69e-04      2.23e-02    9.04e-03    2.4e-06
  32000      3.89e-02    6.34e-02      4.87e-03    7.86e-03      1.94e-02    3.12e-02    1.6e-06
  33000      2.86e-02    2.21e-02      1.56e-03    1.67e-03      1.60e-02    1.28e-02    1.6e-06
  34000      2.13e-02    2.53e-02      1.60e-03    7.19e-04      1.31e-02    1.70e-02    1.1e-06
  35000      2.93e-02    4.13e-02      2.01e-03    4.22e-03      1.63e-02    2.49e-02    1.1e-06
  36000      2.82e-02    3.46e-02      2.50e-03    2.05e-03      1.47e-02    2.34e-02    7.2e-07
  37000      2.05e-02    3.34e-02      1.76e-03    2.25e-03      1.33e-02    2.26e-02    7.2e-07
  38000      4.88e-02    3.56e-02      5.70e-03    3.70e-03      2.24e-02    2.51e-02    4.8e-07
  39000      2.35e-02    2.84e-02      1.74e-03    2.73e-03      1.66e-02    1.84e-02    4.8e-07
  40000      6.95e-02    4.08e-02      6.49e-03    4.12e-03      3.91e-02    2.80e-02    3.2e-07
  41000      1.52e-02    3.88e-02      9.85e-04    4.07e-03      1.19e-02    1.31e-02    3.2e-07
  42000      2.28e-02    2.70e-02      1.89e-03    2.01e-03      1.83e-02    2.11e-02    2.2e-07
  43000      2.45e-02    1.89e-02      1.63e-03    1.02e-03      1.83e-02    1.66e-02    2.2e-07
  44000      2.32e-02    3.23e-02      1.11e-03    3.63e-03      1.86e-02    2.54e-02    1.4e-07
  45000      2.19e-02    1.40e-02      1.94e-03    1.67e-03      1.38e-02    1.11e-02    1.4e-07
  46000      2.77e-02    3.04e-02      1.69e-03    3.40e-03      2.12e-02    1.86e-02    9.6e-08
  47000      1.51e-02    1.26e-02      1.19e-03    7.78e-04      1.11e-02    1.05e-02    9.6e-08
  48000      2.50e-02    2.23e-02      1.99e-03    1.51e-03      1.83e-02    1.98e-02    6.5e-08
  49000      1.51e-02    8.24e-03      8.31e-04    1.58e-04      1.33e-02    7.89e-03    6.5e-08
  50000      3.27e-02    1.71e-02      4.79e-03    1.26e-03      1.90e-02    1.57e-02    4.3e-08
