#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      0      1.83e+00    1.56e+00      8.75e-03    1.05e-02      5.78e-02    4.95e-02    1.0e-03
   1000      1.59e+00    1.39e+00      4.49e-02    5.22e-02      5.04e-02    4.38e-02    1.0e-03
   2000      1.41e+00    2.11e+00      5.49e-02    1.13e-02      5.29e-02    8.16e-02    6.7e-04
   3000      1.83e+00    3.06e+00      2.15e-02    2.00e-02      7.06e-02    1.18e-01    6.7e-04
   4000      1.46e+00    8.51e-01      3.43e-02    4.46e-02      6.80e-02    3.82e-02    4.5e-04
   5000      1.66e+00    9.75e-01      2.84e-02    1.73e-02      7.82e-02    4.58e-02    4.5e-04
   6000      1.09e+00    2.40e+00      1.13e-02    3.98e-02      6.30e-02    1.38e-01    3.0e-04
   7000      1.33e+00    6.05e-01      2.50e-02    1.84e-02      7.59e-02    3.47e-02    3.0e-04
   8000      8.74e-01    1.23e+00      2.15e-02    5.04e-02      5.96e-02    8.42e-02    2.0e-04
   9000      9.75e-01    2.08e+00      3.70e-02    3.79e-02      6.39e-02    1.47e-01    2.0e-04
  10000      7.31e-01    1.45e+00      2.61e-02    2.60e-02      6.08e-02    1.25e-01    1.3e-04
  11000      7.74e-01    6.25e-01      2.62e-02    4.90e-02      6.44e-02    4.34e-02    1.3e-04
  12000      7.04e-01    5.08e-01      6.33e-03    1.06e-02      7.37e-02    5.26e-02    9.0e-05
  13000      6.64e-01    5.91e-01      1.72e-02    2.42e-03      6.87e-02    6.21e-02    9.0e-05
  14000      5.71e-01    2.96e-01      3.12e-02    2.36e-02      6.72e-02    3.24e-02    6.0e-05
  15000      5.63e-01    1.28e+00      2.74e-02    3.11e-02      6.69e-02    1.61e-01    6.0e-05
  16000      4.19e-01    5.97e-01      2.04e-02    8.52e-02      6.19e-02    7.38e-02    4.0e-05
  17000      6.92e-01    5.19e-01      5.70e-03    1.03e-02      1.08e-01    8.07e-02    4.0e-05
  18000      3.20e-01    1.10e-01      1.44e-02    3.20e-03      5.67e-02    2.03e-02    2.7e-05
  19000      3.79e-01    2.78e-01      3.12e-02    1.30e-02      5.87e-02    5.16e-02    2.7e-05
  20000      2.00e-01    3.21e-01      1.15e-02    1.59e-02      4.04e-02    6.66e-02    1.8e-05
  21000      2.92e-01    4.32e-01      2.01e-02    5.55e-02      6.04e-02    5.02e-02    1.8e-05
  22000      2.76e-01    1.35e-01      1.74e-02    5.31e-03      7.00e-02    3.62e-02    1.2e-05
  23000      2.86e-01    2.40e-01      3.68e-03    3.76e-03      7.87e-02    6.63e-02    1.2e-05
  24000      1.81e-01    2.43e-01      5.19e-03    2.65e-02      5.91e-02    3.57e-02    8.0e-06
  25000      2.19e-01    1.32e-01      1.81e-02    1.36e-02      5.83e-02    2.64e-02    8.0e-06
  26000      1.38e-01    2.03e-01      7.73e-03    4.66e-03      4.49e-02    7.95e-02    5.4e-06
  27000      2.13e-01    1.57e-01      2.18e-02    8.55e-03      5.81e-02    5.63e-02    5.4e-06
  28000      2.18e-01    2.40e-01      2.44e-02    2.08e-02      6.09e-02    7.17e-02    3.6e-06
  29000      2.32e-01    1.97e-01      1.96e-02    2.51e-02      8.41e-02    5.32e-02    3.6e-06
  30000      1.64e-01    2.87e-01      1.73e-02    3.92e-02      5.26e-02    7.61e-02    2.4e-06
  31000      1.24e-01    2.64e-01      4.67e-03    3.13e-02      6.41e-02    2.92e-02    2.4e-06
  32000      1.53e-01    1.53e-01      6.77e-03    3.05e-03      8.99e-02    9.39e-02    1.6e-06
  33000      1.15e-01    1.60e-01      1.08e-02    1.61e-02      5.20e-02    7.27e-02    1.6e-06
  34000      1.77e-01    1.02e-01      1.86e-02    1.00e-02      6.83e-02    4.54e-02    1.1e-06
  35000      1.83e-01    1.04e-01      1.98e-02    7.97e-03      6.57e-02    5.70e-02    1.1e-06
  36000      1.62e-01    1.53e-01      2.39e-02    3.13e-02      5.89e-02    4.61e-02    7.2e-07
  37000      1.73e-01    3.73e-01      2.21e-02    5.95e-02      7.10e-02    7.00e-02    7.2e-07
  38000      1.43e-01    3.20e-02      1.42e-02    1.14e-03      6.54e-02    2.52e-02    4.8e-07
  39000      1.35e-01    1.94e-01      1.60e-02    2.75e-02      5.78e-02    8.46e-02    4.8e-07
  40000      1.42e-01    2.56e-01      1.67e-02    3.45e-02      5.32e-02    1.09e-01    3.2e-07
  41000      2.52e-01    5.73e-02      3.13e-02    8.67e-03      6.90e-02    3.51e-02    3.2e-07
  42000      1.59e-01    4.31e-02      1.68e-02    8.31e-04      5.95e-02    3.87e-02    2.2e-07
  43000      1.48e-01    3.58e-01      1.25e-02    5.75e-02      8.14e-02    6.84e-02    2.2e-07
  44000      1.45e-01    3.82e-02      2.15e-02    5.86e-04      8.15e-02    3.55e-02    1.4e-07
  45000      1.41e-01    6.76e-02      1.21e-02    8.83e-04      8.20e-02    6.28e-02    1.4e-07
  46000      2.47e-01    8.51e-02      3.25e-02    3.38e-03      8.80e-02    7.72e-02    9.6e-08
  47000      1.56e-01    1.73e-01      2.05e-02    2.55e-02      6.86e-02    4.87e-02    9.6e-08
  48000      1.34e-01    2.55e-02      1.70e-02    2.51e-04      5.80e-02    2.46e-02    6.5e-08
  49000      1.64e-01    1.05e-01      2.08e-02    6.84e-03      9.13e-02    8.69e-02    6.5e-08
  50000      2.12e-01    9.24e-02      2.78e-02    7.65e-03      7.15e-02    6.73e-02    4.3e-08
